rem,in,out
2,5.84,4.66
15,60,5.81
14,54.19,4.76
13,49.43,1.46
12,47.97,1.15
11,46.82,0.6
10,46.22,5.13
9,41.09,8.83
8,32.26,3.21
7,29.05,5.44
6,23.61,5.12
5,18.49,1.32
4,17.17,6.96
3,10.21,4.46
2,5.75,4.26
15,60,1.01
14,58.99,1.99
13,57,4.37
12,52.63,8.55
11,44.08,5.61
10,38.47,5.99
9,32.48,2.43
8,30.05,0.81
7,29.24,5.9
6,23.34,4.52
5,18.82,5.56
4,13.26,4.49
3,8.77,1.04
2,7.73,5.87
15,60,2.09
14,57.91,5.27
13,52.64,4.98
12,47.66,0.61
11,47.05,0.81
10,46.24,5.28
9,40.96,1.61
8,39.35,4.33
7,35.02,7.73
6,27.29,4.7
5,22.59,7.85
4,14.74,4
3,10.74,1.53
2,9.21,5.85
15,60,5.61
14,54.39,7.19
13,47.2,2.69
12,44.51,0.79
11,43.72,4.53
10,39.19,7.03
9,32.16,4.14
8,28.02,1.33
7,26.69,4.94
6,21.75,4.22
5,17.53,4.02
4,13.51,0.33
3,13.18,3.69
2,9.49,2.05
15,60,3.88
14,56.12,7.29
13,48.83,2.06
12,46.77,4.87
11,41.9,5.77
10,36.13,5.91
9,30.22,0.93
8,29.29,6.75
7,22.54,4.02
6,18.52,3.32
5,15.2,0.71
4,14.49,3.56
3,10.93,0.67
2,10.26,5.38
15,60,7.38
14,52.62,2.61
13,50.01,1.38
12,48.63,1.15
11,47.48,5
10,42.48,1.17
9,41.31,8.82
8,32.49,4.18
7,28.31,3.28
6,25.03,1.86
5,23.17,5.55
4,17.62,8.58
3,9.04,1.38
2,7.66,5.7
15,60,3.76
14,56.24,4.63
13,51.61,2.53
12,49.08,6.9
11,42.18,4.37
10,37.81,0.37
9,37.44,0.7
8,36.74,9.15
7,27.59,4.02
6,23.57,3.56
5,20.01,7.64
4,12.37,2.95
3,9.42,4.08
2,5.34,0.89
15,60,4.61
14,55.39,7.89
13,47.5,4.36
12,43.14,0.65
11,42.49,4.81
10,37.68,3.11
9,34.57,0.38
8,34.19,5.58
7,28.61,7.08
6,21.53,2.73
5,18.8,0.76
4,18.04,7.66
3,10.38,1.03
2,9.35,8.16
15,60,5.28
14,54.72,6.89
13,47.83,1.3
12,46.53,5.22
11,41.31,6.78
10,34.53,6.64
9,27.89,1.38
8,26.51,5.84
7,20.67,1.09
6,19.58,2.34
5,17.24,0.76
4,16.48,4.27
3,12.21,3.29
2,8.92,0.44
15,60,1.8
14,58.2,0.53
13,57.67,1.17
12,56.5,5.34
11,51.16,6.83
10,44.33,0.58
9,43.75,7.14
8,36.61,0.45
7,36.16,6.69
6,29.47,5.11
5,24.36,7.35
4,17.01,8.44
3,8.57,5.64
2,2.93,2.38
15,60,6.74
14,53.26,5.56
13,47.7,2.4
12,45.3,7.4
11,37.9,6.31
10,31.59,1.79
9,29.8,4.05
8,25.75,5.87
7,19.88,0.28
6,19.6,0.83
5,18.77,2.28
4,16.49,2.25
3,14.24,2.68
2,11.56,9.53
15,60,6.23
14,53.77,1.4
13,52.37,4.38
12,47.99,7.85
11,40.14,6.94
10,33.2,4.78
9,28.42,0.31
8,28.11,1.22
7,26.89,4
6,22.89,2.34
5,20.55,6.01
4,14.54,7.08
3,7.46,2.52
2,4.94,2.98
15,60,4.6
14,55.4,2.59
13,52.81,7.36
12,45.45,5.68
11,39.77,6.09
10,33.68,3.69
9,29.99,5.65
8,24.34,0.79
7,23.55,0.9
6,22.65,5.99
5,16.66,4.95
4,11.71,3.62
3,8.09,4.04
2,4.05,3.51
15,60,6.52
14,53.48,1.06
13,52.42,0.45
12,51.97,4.4
11,47.57,0.91
10,46.66,2.18
9,44.48,0.68
8,43.8,7.91
7,35.89,5.39
6,30.5,1.82
5,28.68,3.8
4,24.88,4.76
3,20.12,9.48
2,10.64,6.46
15,60,4.4
14,55.6,1.58
13,54.02,0.49
12,53.53,4.62
11,48.91,3.41
10,45.5,1.56
9,43.94,1.91
8,42.03,7.88
7,34.15,4.14
6,30.01,3.09
5,26.92,5.35
4,21.57,7.6
3,13.97,7.26
2,6.71,5.05
15,60,2.53
14,57.47,0.58
13,56.89,2.97
12,53.92,7.46
11,46.46,8.22
10,38.24,5.81
9,32.43,6.42
8,26.01,0.32
7,25.69,1.85
6,23.84,6.78
5,17.06,5.63
4,11.43,3.89
3,7.54,3.13
2,4.41,3.66
15,60,5.05
14,54.95,1.32
13,53.63,4.93
12,48.7,3.29
11,45.41,4.62
10,40.79,3.51
9,37.28,1.68
8,35.6,4.72
7,30.88,3.86
6,27.02,6.19
5,20.83,1.01
4,19.82,0.56
3,19.26,10.6
2,8.66,0.43
15,60,3.41
14,56.59,4
13,52.59,1.49
12,51.1,2.56
11,48.54,0.44
10,48.1,1.96
9,46.14,0.51
8,45.63,9.57
7,36.06,1.54
6,34.52,3.67
5,30.85,11.8
4,19.05,5.24
3,13.81,5.75
2,8.06,1.33
15,60,6.38
14,53.62,3.5
13,50.12,5.97
12,44.15,6.53
11,37.62,4.28
10,33.34,6.06
9,27.28,2.69
8,24.59,0.3
7,24.29,1.22
6,23.07,4.6
5,18.47,6.92
4,11.55,0.69
3,10.86,4.71
2,6.15,0.3
15,60,1.64
14,58.36,5.7
13,52.66,5.76
12,46.9,7.05
11,39.85,2.68
10,37.17,4.17
9,33,1.88
8,31.12,6.95
7,24.17,6.54
6,17.63,0.29
5,17.34,2.48
4,14.86,4.53
3,10.33,6.82
2,3.51,0.17
15,60,5.22
14,54.78,4.1
13,50.68,1.75
12,48.93,0.45
11,48.48,3.78
10,44.7,4.03
9,40.67,6.95
8,33.72,4.02
7,29.7,4.88
6,24.82,6.46
