rem,in,out
14,58.72,6.35
13,52.37,2.04
12,50.33,2.47
11,47.86,4.41
10,43.45,7.67
9,35.78,3.16
8,32.62,6.79
7,25.83,5.85
6,19.98,0.6
5,19.38,0.38
4,19,8.63
3,10.37,3.17
2,7.2,1.13
15,60,0.4
14,59.6,7.97
13,51.63,2.88
12,48.75,1.58
11,47.17,2.45
10,44.72,0.68
9,44.04,7.93
8,36.11,8.31
7,27.8,1.96
6,25.84,2.08
5,23.76,4.25
4,19.51,6.71
3,12.8,1.85
2,10.95,5.48
15,60,5.7
14,54.3,7
13,47.3,4.07
12,43.23,6.18
11,37.05,1.26
10,35.79,3.13
9,32.66,2.53
8,30.13,3.79
7,26.34,0.74
6,25.6,8.24
5,17.36,2.41
4,14.95,6.35
3,8.6,4.7
2,3.9,3.73
15,60,6.55
14,53.45,4.27
13,49.18,6.55
12,42.63,2.95
11,39.68,0.85
10,38.83,6.07
9,32.76,3.3
8,29.46,7.15
7,22.31,4.69
6,17.62,0.29
5,17.33,6.84
4,10.49,5.05
3,5.44,1.66
2,3.78,2.02
15,60,7.77
14,52.23,0.55
13,51.68,2.98
12,48.7,4.86
11,43.84,5.36
10,38.48,0.87
9,37.61,0.49
8,37.12,5.38
7,31.74,6.48
6,25.26,4.92
5,20.34,7.72
4,12.62,2.89
3,9.73,2.7
2,7.03,0.56
15,60,6.61
14,53.39,5.14
13,48.25,0.37
12,47.88,7.37
11,40.51,3.19
10,37.32,1.57
9,35.75,1.11
8,34.64,6.17
7,28.47,4.71
6,23.76,1.79
5,21.97,8.57
4,13.4,4.1
3,9.3,3.1
2,6.2,5.55
15,60,2.06
14,57.94,4.83
13,53.11,6.01
12,47.1,3.42
11,43.68,2.88
10,40.8,3.98
9,36.82,7.18
8,29.64,0.37
7,29.27,1.2
6,28.07,7.88
5,20.19,3.76
4,16.43,2.71
3,13.72,7.43
2,6.29,5.5
15,60,4.96
14,55.04,6.8
13,48.24,1.5
12,46.74,0.73
11,46.01,2.24
10,43.77,1.46
9,42.31,2.63
8,39.68,2.75
7,36.93,1.39
6,35.54,7.99
5,27.55,1.31
4,26.24,11.32
3,14.92,2.96
2,11.96,7.1
15,60,0.69
14,59.31,4.91
13,54.4,2.49
12,51.91,5.09
11,46.82,4.26
10,42.56,4.21
9,38.35,3.68
8,34.67,2.74
7,31.93,2.6
6,29.33,2.42
5,26.91,6.28
4,20.63,5.32
3,15.31,2.39
2,12.92,9.63
15,60,0.4
14,59.6,3.58
13,56.02,2.4
12,53.62,8.49
11,45.13,2.96
10,42.17,4.25
9,37.92,2.77
8,35.15,4.9
7,30.25,8.15
6,22.1,0.43
5,21.67,0.46
4,21.21,5.22
3,15.99,5.04
2,10.95,0.54
15,60,4.05
14,55.95,3
13,52.95,7.5
12,45.45,6.99
11,38.46,1.9
10,36.56,4.74
9,31.82,4.61
8,27.21,4.9
7,22.31,4.27
6,18.04,5.07
5,12.97,3.95
4,9.02,4.01
3,5.01,3.18
2,1.83,1.05
15,60,0.54
14,59.46,5.81
13,53.65,6.92
12,46.73,1.95
11,44.78,7.72
10,37.06,3.95
9,33.11,0.96
8,32.15,2.72
7,29.43,1.65
6,27.78,9.04
5,18.74,2.04
4,16.7,0.72
3,15.98,7.91
2,8.07,7.24
15,60,0.45
14,59.55,5
13,54.55,0.54
12,54.01,4.81
11,49.2,0.44
10,48.76,4.9
9,43.86,1.83
8,42.03,2.59
7,39.44,8.26
6,31.18,2.43
5,28.75,9.23
4,19.52,5.68
3,13.84,1.83
2,12.01,3.93
15,60,7.8
14,52.2,5.26
13,46.94,0.36
12,46.58,6.05
11,40.53,0.36
10,40.17,6.72
9,33.45,0.58
8,32.87,6.39
7,26.48,5.53
6,20.95,5.77
5,15.18,3.98
4,11.2,5.17
3,6.03,2.67
2,3.36,2.24
15,60,2.87
14,57.13,8.13
13,49,1.39
12,47.61,0.86
11,46.75,7.91
10,38.84,1.28
9,37.56,7.17
8,30.39,6.48
7,23.91,0.86
6,23.05,3.5
5,19.55,5.17
4,14.38,6.2
3,8.18,0.69
2,7.49,1.59
15,60,7.84
14,52.16,0.84
13,51.32,4.41
12,46.91,6.8
11,40.11,6.77
